frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650628847166,0.152247,,executor,,,,,,,,
1,1650628847202,0.185144,,executor,,,,,,,,
2,1650628847361,0.352144,,executor,,,,,,,,
3,1650628847374,0.364849,,executor,,,,,,,,
4,1650628847500,0.49018,,executor,,,,,,,,
5,1650628847592,0.57459,,executor,,,,,,,,
6,1650628847805,0.792032,,executor,,,,,,,,
7,1650628847823,0.808487,,executor,,,,,,,,
8,1650628847934,0.922252,,executor,,,,,,,,
9,1650628848095,1.081396,,executor,,,,,,,,
10,1650628848115,1.099196,,executor,,,,,,,,
11,1650628848276,1.268067,,executor,,,,,,,,
12,1650628848469,1.455861,,executor,,,,,,,,
13,1650628848533,1.525436,,executor,,,,,,,,
14,1650628848534,1.525436,,executor,,,,,,,,
15,1650628848664,1.6561,,executor,,,,,,,,
16,1650628848834,1.822862,,executor,,,,,,,,
17,1650628848972,1.960329,,executor,,,,,,,,
18,1650628849012,1.996343,,executor,,,,,,,,
19,1650628849058,2.048892,,executor,,,,,,,,
20,1650628849106,2.093415,,executor,,,,,,,,
21,1650628849187,2.179319,,executor,,,,,,,,
22,1650628849321,2.313122,,executor,,,,,,,,
23,1650628849389,2.37535,,executor,,,,,,,,
24,1650628849472,2.462905,,executor,,,,,,,,
25,1650628849595,2.585458,,executor,,,,,,,,
26,1650628849682,2.664717,,executor,,,,,,,,
27,1650628849789,2.77476,,executor,,,,,,,,
28,1650628849889,2.878208,,executor,,,,,,,,
29,1650628849994,2.984814,,executor,,,,,,,,
30,1650628850074,3.059201,,executor,,,,,,,,
31,1650628850570,3.555951,,executor,,,,,,,,
32,1650628850572,3.555951,,executor,,,,,,,,
33,1650628850578,3.564086,,executor,,,,,,,,
34,1650628850618,3.600562,,executor,,,,,,,,
35,1650628850820,3.808011,,executor,,,,,,,,
36,1650628850986,3.969582,,executor,,,,,,,,
37,1650628851037,4.028038,,executor,,,,,,,,
38,1650628851039,4.028038,,executor,,,,,,,,
39,1650628851175,4.16479,,executor,,,,,,,,
40,1650628851274,4.255725,,executor,,,,,,,,
41,1650628851360,4.345545,,executor,,,,,,,,
42,1650628851387,4.370308,,executor,,,,,,,,
43,1650628851435,4.425864,,executor,,,,,,,,
44,1650628851504,4.48821,,executor,,,,,,,,
45,1650628851591,4.580744,,executor,,,,,,,,
46,1650628851696,4.686233,,executor,,,,,,,,
47,1650628851761,4.746035,,executor,,,,,,,,
48,1650628852173,5.155377,,executor,,,,,,,,
49,1650628852280,5.263827,,executor,,,,,,,,
50,1650628852283,5.263827,,executor,,,,,,,,
51,1650628852318,5.300221,,executor,,,,,,,,
52,1650628852357,5.346018,,executor,,,,,,,,
53,1650628852485,5.474896,,executor,,,,,,,,
54,1650628852499,5.487163,,executor,,,,,,,,
55,1650628852604,5.593575,,executor,,,,,,,,
56,1650628852701,5.682497,,executor,,,,,,,,
57,1650628852767,5.75525,,executor,,,,,,,,
58,1650628853154,6.142478,,executor,,,,,,,,
59,1650628853155,6.142478,,executor,,,,,,,,
60,1650628853235,6.217875,,executor,,,,,,,,
61,1650628853284,6.271879,,executor,,,,,,,,
62,1650628853303,6.290798,,executor,,,,,,,,
63,1650628853496,6.477339,,executor,,,,,,,,
64,1650628853541,6.529191,,executor,,,,,,,,
65,1650628853585,6.569462,,executor,,,,,,,,
66,1650628853690,6.677645,,executor,,,,,,,,
67,1650628853803,6.792356,,executor,,,,,,,,
68,1650628853997,6.9814,,executor,,,,,,,,
69,1650628853997,6.9814,,executor,,,,,,,,
70,1650628854208,7.194741,,executor,,,,,,,,
71,1650628854300,7.281485,,executor,,,,,,,,
72,1650628854403,7.38571,,executor,,,,,,,,
73,1650628854595,7584,,executor,,,,,,,,
74,1650628854636,7.620403,,executor,,,,,,,,
75,1650628854729,7.717112,,executor,,,,,,,,
76,1650628854882,7.868428,,executor,,,,,,,,
77,1650628854997,7.985177,,executor,,,,,,,,
78,1650628855173,8.155654,,executor,,,,,,,,
79,1650628855200,8.18167,,executor,,,,,,,,
80,1650628855292,8.276978,,executor,,,,,,,,
81,1650628855397,8.384875,,executor,,,,,,,,
82,1650628855423,8.407314,,executor,,,,,,,,
83,1650628855475,8.455495,,executor,,,,,,,,
84,1650628855594,8.575872,,executor,,,,,,,,
85,1650628855676,8.660789,,executor,,,,,,,,
86,1650628855794,8.780365,,executor,,,,,,,,
87,1650628855871,8.851251,,executor,,,,,,,,
88,1650628856178,9.164944,,executor,,,,,,,,
89,1650628856217,9.201175,,executor,,,,,,,,
90,1650628856253,9.233257,,executor,,,,,,,,
91,1650628856363,9.34612,,executor,,,,,,,,
92,1650628856367,9.348547,,executor,,,,,,,,
93,1650628856700,9.686828,,executor,,,,,,,,
94,1650628856703,9.686828,,executor,,,,,,,,
95,1650628856816,9.804155,,executor,,,,,,,,
96,1650628856908,9.888585,,executor,,,,,,,,
97,1650628857063,10.04287,,executor,,,,,,,,
98,1650628857071,10.059345,,executor,,,,,,,,
99,1650628857521,10.504743,,executor,,,,,,,,
100,1650628857565,10.504743,,executor,,,,,,,,
101,1650628857568,10.548603,,executor,,,,,,,,
102,1650628857605,10.592906,,executor,,,,,,,,
103,1650628857742,10.729236,,executor,,,,,,,,
104,1650628857767,10.752223,,executor,,,,,,,,
105,1650628857771,10.756266,,executor,,,,,,,,
106,1650628857903,10.886827,,executor,,,,,,,,
107,1650628858079,11.060853,,executor,,,,,,,,
108,1650628858104,11.083526,,executor,,,,,,,,
109,1650628858336,11.317599,,executor,,,,,,,,
110,1650628858454,11.43767,,executor,,,,,,,,
111,1650628858477,11.458821,,executor,,,,,,,,
112,1650628858485,11.464769,,executor,,,,,,,,
113,1650628858705,11.688969,,executor,,,,,,,,
114,1650628858749,11.728859,,executor,,,,,,,,
115,1650628858793,11.779716,,executor,,,,,,,,
116,1650628858898,11.876809,,executor,,,,,,,,
117,1650628859041,12.030601,,executor,,,,,,,,
118,1650628859086,12.071889,,executor,,,,,,,,
119,1650628859199,12.184117,,executor,,,,,,,,
120,1650628859484,12.467903,,executor,,,,,,,,
121,1650628859613,12.597949,,executor,,,,,,,,
122,1650628859682,12.661237,,executor,,,,,,,,
123,1650628859767,12.748819,,executor,,,,,,,,
124,1650628859792,12.772146,,executor,,,,,,,,
125,1650628859803,12.783238,,executor,,,,,,,,
126,1650628859978,12.964532,,executor,,,,,,,,
127,1650628859997,12.981687,,executor,,,,,,,,
128,1650628860303,13.284564,,executor,,,,,,,,
129,1650628860319,13.297851,,executor,,,,,,,,
130,1650628860481,13.459279,,executor,,,,,,,,
131,1650628860698,13.678827,,executor,,,,,,,,
132,1650628860702,13.678827,,executor,,,,,,,,
133,1650628860721,13.700098,,executor,,,,,,,,
134,1650628860755,13.743194,,executor,,,,,,,,
135,1650628860896,13.883162,,executor,,,,,,,,
136,1650628860916,13.900779,,executor,,,,,,,,
137,1650628861012,13.998273,,executor,,,,,,,,
138,1650628861091,14.071261,,executor,,,,,,,,
139,1650628861451,14.435003,,executor,,,,,,,,
140,1650628861453,14.435003,,executor,,,,,,,,
141,1650628861478,14.460332,,executor,,,,,,,,
142,1650628861506,14.484262,,executor,,,,,,,,
143,1650628861589,14.572692,,executor,,,,,,,,
144,1650628861691,14.675681,,executor,,,,,,,,
145,1650628861763,14.742495,,executor,,,,,,,,
146,1650628861902,14.880765,,executor,,,,,,,,
147,1650628861977,14.960297,,executor,,,,,,,,
148,1650628862095,15.079026,,executor,,,,,,,,
149,1650628862319,15.306256,,executor,,,,,,,,
150,1650628862380,15.362982,,executor,,,,,,,,
151,1650628862399,15.380372,,executor,,,,,,,,
152,1650628862518,15.501084,,executor,,,,,,,,
153,1650628862586,15.573515,,executor,,,,,,,,
154,1650628862720,15.706659,,executor,,,,,,,,
155,1650628862893,15.87752,,executor,,,,,,,,
156,1650628863029,16.012474,,executor,,,,,,,,
157,1650628863150,16.132927,,executor,,,,,,,,
158,1650628863186,16.167006,,executor,,,,,,,,
159,1650628863289,16.27316,,executor,,,,,,,,
160,1650628863365,16.351996,,executor,,,,,,,,
161,1650628863499,16.485779,,executor,,,,,,,,
162,1650628863562,16.544657,,executor,,,,,,,,
163,1650628863981,16.961181,,executor,,,,,,,,
164,1650628863983,16.961181,,executor,,,,,,,,
165,1650628864000,16.978463,,executor,,,,,,,,
166,1650628864003,16.981754,,executor,,,,,,,,
167,1650628864155,17.141786,,executor,,,,,,,,
168,1650628864310,17.295282,,executor,,,,,,,,
169,1650628864350,17.332189,,executor,,,,,,,,
170,1650628864595,17.57908,,executor,,,,,,,,
171,1650628864651,17.63028,,executor,,,,,,,,
172,1650628864749,17.730328,,executor,,,,,,,,
173,1650628864751,17.730328,,executor,,,,,,,,
174,1650628864789,17.766747,,executor,,,,,,,,
175,1650628864894,17.87308,,executor,,,,,,,,
176,1650628864964,17.947771,,executor,,,,,,,,
177,1650628865301,18.280101,,executor,,,,,,,,
178,1650628865411,18.391457,,executor,,,,,,,,
179,1650628865413,18.391457,,executor,,,,,,,,
180,1650628865586,18.563833,,executor,,,,,,,,
181,1650628865598,18.584024,,executor,,,,,,,,
182,1650628865693,18.671382,,executor,,,,,,,,
183,1650628865779,18.760861,,executor,,,,,,,,
184,1650628865902,18.885719,,executor,,,,,,,,
185,1650628866002,18.988026,,executor,,,,,,,,
186,1650628866108,19.084498,,executor,,,,,,,,
187,1650628866297,19.279869,,executor,,,,,,,,
188,1650628866299,19.282248,,executor,,,,,,,,
189,1650628866498,19.476767,,executor,,,,,,,,
190,1650628866524,19.509761,,executor,,,,,,,,
191,1650628866640,19.627057,,executor,,,,,,,,
192,1650628866789,19.775185,,executor,,,,,,,,
193,1650628866795,19.780981,,executor,,,,,,,,
194,1650628866875,19.853586,,executor,,,,,,,,
195,1650628867002,19.981947,,executor,,,,,,,,
196,1650628867160,20.136784,,executor,,,,,,,,
197,1650628867314,20.299569,,executor,,,,,,,,
198,1650628867490,20.472299,,executor,,,,,,,,
199,1650628867572,20.557996,,executor,,,,,,,,
200,1650628867668,20.646042,,executor,,,,,,,,
201,1650628867695,20.67097,,executor,,,,,,,,
202,1650628867706,20.690797,,executor,,,,,,,,
203,1650628867779,20.758569,,executor,,,,,,,,
204,1650628867884,20.866767,,executor,,,,,,,,
205,1650628867994,20.977825,,executor,,,,,,,,
206,1650628868067,21.045089,,executor,,,,,,,,
207,1650628868462,21.439975,,executor,,,,,,,,
208,1650628868466,21.439975,,executor,,,,,,,,
209,1650628868558,21.538963,,executor,,,,,,,,
210,1650628868580,21.559622,,executor,,,,,,,,
211,1650628868705,21.68496,,executor,,,,,,,,
212,1650628868849,21.826771,,executor,,,,,,,,
213,1650628869024,22.009805,,executor,,,,,,,,
214,1650628869025,22.009805,,executor,,,,,,,,
215,1650628869156,22.140715,,executor,,,,,,,,
216,1650628869160,22.145034,,executor,,,,,,,,
217,1650628869330,22.312883,,executor,,,,,,,,
218,1650628869401,22.378071,,executor,,,,,,,,
219,1650628869408,22.393677,,executor,,,,,,,,
220,1650628869484,22.463492,,executor,,,,,,,,
221,1650628869586,22.569214,,executor,,,,,,,,
222,1650628869982,22.962352,,executor,,,,,,,,
223,1650628870104,22.962352,,executor,,,,,,,,
224,1650628870120,23.100252,,executor,,,,,,,,
225,1650628870167,23.143433,,executor,,,,,,,,
226,1650628870297,23.275047,,executor,,,,,,,,
227,1650628870304,23.279367,,executor,,,,,,,,
228,1650628870408,23.386716,,executor,,,,,,,,
229,1650628870502,23.484138,,executor,,,,,,,,
230,1650628870650,23.631122,,executor,,,,,,,,
231,1650628870723,23.698536,,executor,,,,,,,,
232,1650628870824,23.800406,,executor,,,,,,,,
233,1650628871025,24.007537,,executor,,,,,,,,
234,1650628871151,24.133388,,executor,,,,,,,,
235,1650628871237,24.22234,,executor,,,,,,,,
236,1650628871255,24.240418,,executor,,,,,,,,
237,1650628871539,24.522996,,executor,,,,,,,,
238,1650628871546,24.527922,,executor,,,,,,,,
239,1650628871755,24.729967,,executor,,,,,,,,
240,1650628871802,24.784677,,executor,,,,,,,,
241,1650628871852,24.830554,,executor,,,,,,,,
242,1650628871971,24.950452,,executor,,,,,,,,
243,1650628871979,24.958998,,executor,,,,,,,,
244,1650628872228,25.208532,,executor,,,,,,,,
245,1650628872373,25.353233,,executor,,,,,,,,
246,1650628872417,25.393221,,executor,,,,,,,,
247,1650628872449,25.431524,,executor,,,,,,,,
248,1650628872583,25.565146,,executor,,,,,,,,
249,1650628872591,25.573595,,executor,,,,,,,,
250,1650628872922,25.899034,,executor,,,,,,,,
251,1650628873057,25.899034,,executor,,,,,,,,
252,1650628873083,26.068137,,executor,,,,,,,,
253,1650628873199,26.174669,,executor,,,,,,,,
254,1650628873229,26.211667,,executor,,,,,,,,
255,1650628873380,26.361984,,executor,,,,,,,,
256,1650628873577,26.554608,,executor,,,,,,,,
257,1650628873594,26.56927,,executor,,,,,,,,
258,1650628873634,26.61697,,executor,,,,,,,,
259,1650628873750,26.733863,,executor,,,,,,,,
260,1650628873776,26.757713,,executor,,,,,,,,
261,1650628874038,27.020252,,executor,,,,,,,,
262,1650628874106,27.082014,,executor,,,,,,,,
263,1650628874187,27.166215,,executor,,,,,,,,
264,1650628874231,27.20659,,executor,,,,,,,,
265,1650628874288,27.270068,,executor,,,,,,,,
266,1650628874417,27.39885,,executor,,,,,,,,
267,1650628874494,27.469884,,executor,,,,,,,,
268,1650628874963,27.94363,,executor,,,,,,,,
269,1650628874964,27.94363,,executor,,,,,,,,
270,1650628874967,27.948138,,executor,,,,,,,,
271,1650628875014,27.989781,,executor,,,,,,,,
272,1650628875102,28.082411,,executor,,,,,,,,
273,1650628875107,28.087129,,executor,,,,,,,,
274,1650628875252,28.231571,,executor,,,,,,,,
275,1650628875402,28.378899,,executor,,,,,,,,
276,1650628875583,28.565698,,executor,,,,,,,,
277,1650628875726,28.708639,,executor,,,,,,,,
278,1650628875798,28.773813,,executor,,,,,,,,
279,1650628875853,28.836392,,executor,,,,,,,,
280,1650628875881,28.862896,,executor,,,,,,,,
281,1650628875889,28.868789,,executor,,,,,,,,
282,1650628875960,28.933838,,executor,,,,,,,,
283,1650628876119,29.100963,,executor,,,,,,,,
284,1650628876274,29.255049,,executor,,,,,,,,
285,1650628876359,29.333259,,executor,,,,,,,,
286,1650628876471,29.446541,,executor,,,,,,,,
287,1650628876479,29.454446,,executor,,,,,,,,
288,1650628876743,29.716344,,executor,,,,,,,,
289,1650628876779,29.761253,,executor,,,,,,,,
290,1650628876798,29.779059,,executor,,,,,,,,
291,1650628876903,29.884443,,executor,,,,,,,,
292,1650628877049,30.03054,,executor,,,,,,,,
293,1650628877225,30.202095,,executor,,,,,,,,
294,1650628877358,30.33647,,executor,,,,,,,,
295,1650628877383,30.359524,,executor,,,,,,,,
296,1650628877398,30.37255,,executor,,,,,,,,
297,1650628877500,30.476639,,executor,,,,,,,,
298,1650628877582,30.562512,,executor,,,,,,,,
299,1650628877793,30.767475,,executor,,,,,,,,
300,1650628877801,30.774843,,executor,,,,,,,,
301,1650628877900,30.875146,,executor,,,,,,,,
302,1650628878003,30.981282,,executor,,,,,,,,
303,1650628878165,31.14057,,executor,,,,,,,,
304,1650628878221,31.203847,,executor,,,,,,,,
305,1650628878308,31.282726,,executor,,,,,,,,
306,1650628878486,31.46727,,executor,,,,,,,,
307,1650628878490,31.471481,,executor,,,,,,,,
308,1650628878729,31.702202,,executor,,,,,,,,
309,1650628878854,31.836474,,executor,,,,,,,,
310,1650628878872,31.853344,,executor,,,,,,,,
311,1650628878880,31.861518,,executor,,,,,,,,
312,1650628879098,32.072884,,executor,,,,,,,,
313,1650628879108,32.082427,,executor,,,,,,,,
314,1650628879369,32.341747,,executor,,,,,,,,
315,1650628879433,32.411577,,executor,,,,,,,,
316,1650628879495,32.469533,,executor,,,,,,,,
317,1650628879578,32.555207,,executor,,,,,,,,
318,1650628879780,32.75236,,executor,,,,,,,,
319,1650628879849,32.826882,,executor,,,,,,,,
320,1650628879893,32.866702,,executor,,,,,,,,
321,1650628879923,32.903816,,executor,,,,,,,,
322,1650628880060,33.042008,,executor,,,,,,,,
323,1650628880101,33.079313,,executor,,,,,,,,
324,1650628880234,33.211577,,executor,,,,,,,,
325,1650628880265,33.241268,,executor,,,,,,,,
326,1650628880599,33.580318,,executor,,,,,,,,
327,1650628880716,33.696331,,executor,,,,,,,,
328,1650628880755,33.733581,,executor,,,,,,,,
329,1650628880787,33.76187,,executor,,,,,,,,
330,1650628880799,33.773922,,executor,,,,,,,,
331,1650628880892,33.870215,,executor,,,,,,,,
332,1650628881004,33.983058,,executor,,,,,,,,
333,1650628881125,34.10511,,executor,,,,,,,,
334,1650628881251,34.231223,,executor,,,,,,,,
335,1650628881325,34.299026,,executor,,,,,,,,
336,1650628881385,34.364141,,executor,,,,,,,,
337,1650628881488,34.470423,,executor,,,,,,,,
338,1650628881690,34.666018,,executor,,,,,,,,
339,1650628881691,34.666018,,executor,,,,,,,,
340,1650628881925,34.902712,,executor,,,,,,,,
341,1650628882333,35.310768,,executor,,,,,,,,
342,1650628882338,35.310768,,executor,,,,,,,,
343,1650628882398,35.370076,,executor,,,,,,,,
344,1650628882497,35.470221,,executor,,,,,,,,
345,1650628882511,35.484551,,executor,,,,,,,,
346,1650628882561,35.541231,,executor,,,,,,,,
347,1650628882588,35.566148,,executor,,,,,,,,
348,1650628882759,35.734802,,executor,,,,,,,,
349,1650628882779,35.752582,,executor,,,,,,,,
350,1650628882895,35.869742,,executor,,,,,,,,
351,1650628882990,35.96608,,executor,,,,,,,,
352,1650628883075,36.056077,,executor,,,,,,,,
353,1650628883158,36.131666,,executor,,,,,,,,
354,1650628883292,36.264887,,executor,,,,,,,,
355,1650628883491,36.470553,,executor,,,,,,,,
356,1650628883502,36.479683,,executor,,,,,,,,
357,1650628883582,36.553747,,executor,,,,,,,,
358,1650628883660,36.636505,,executor,,,,,,,,
359,1650628883810,36.783913,,executor,,,,,,,,
360,1650628883905,36.88201,,executor,,,,,,,,
361,1650628884113,37.094246,,executor,,,,,,,,
362,1650628884190,37.165381,,executor,,,,,,,,
363,1650628884274,37.25264,,executor,,,,,,,,
364,1650628884530,37.509287,,executor,,,,,,,,
365,1650628884579,37.554397,,executor,,,,,,,,
366,1650628884675,37.653396,,executor,,,,,,,,
367,1650628884703,37.679893,,executor,,,,,,,,
368,1650628884790,37.769377,,executor,,,,,,,,
369,1650628884917,37.896066,,executor,,,,,,,,
370,1650628885162,38.133003,,executor,,,,,,,,
371,1650628885280,38.251803,,executor,,,,,,,,
372,1650628885378,38.351152,,executor,,,,,,,,
373,1650628885452,38.431935,,executor,,,,,,,,
374,1650628885537,38.509124,,executor,,,,,,,,
375,1650628885603,38.580798,,executor,,,,,,,,
376,1650628885678,38.649927,,executor,,,,,,,,
377,1650628885793,38.766309,,executor,,,,,,,,
378,1650628885804,38.774994,,executor,,,,,,,,
379,1650628885809,38.780364,,executor,,,,,,,,
380,1650628886195,39.165745,,executor,,,,,,,,
381,1650628886195,39.165745,,executor,,,,,,,,
382,1650628886207,39.178343,,executor,,,,,,,,
383,1650628886449,39.420412,,executor,,,,,,,,
384,1650628886595,39.565956,,executor,,,,,,,,
385,1650628886726,39.697809,,executor,,,,,,,,
386,1650628886792,39.769434,,executor,,,,,,,,
387,1650628886918,39.896265,,executor,,,,,,,,
388,1650628886995,39.96584,,executor,,,,,,,,
389,1650628887086,40.060134,,executor,,,,,,,,
390,1650628887131,40.111726,,executor,,,,,,,,
391,1650628887388,40.358125,,executor,,,,,,,,
392,1650628887419,40.398623,,executor,,,,,,,,
393,1650628887482,40.456038,,executor,,,,,,,,
394,1650628887535,40.51556,,executor,,,,,,,,
395,1650628887595,40.570085,,executor,,,,,,,,
396,1650628887884,40.857539,,executor,,,,,,,,
397,1650628887957,40.934006,,executor,,,,,,,,
398,1650628888086,41.062668,,executor,,,,,,,,
399,1650628888092,41.069176,,executor,,,,,,,,
400,1650628888376,41.351809,,executor,,,,,,,,
401,1650628888389,41.364073,,executor,,,,,,,,
402,1650628888460,41.439781,,executor,,,,,,,,
403,1650628888728,41.705702,,executor,,,,,,,,
404,1650628888791,41.763053,,executor,,,,,,,,
405,1650628888857,41.836907,,executor,,,,,,,,
406,1650628888884,41.860853,,executor,,,,,,,,
407,1650628889002,41.980292,,executor,,,,,,,,
408,1650628889195,42.16737,,executor,,,,,,,,
409,1650628889237,42.207222,,executor,,,,,,,,
410,1650628889572,42.546301,,executor,,,,,,,,
411,1650628889650,42.6276,,executor,,,,,,,,
412,1650628889722,42.692802,,executor,,,,,,,,
413,1650628889799,42.775631,,executor,,,,,,,,
414,1650628889868,42.840138,,executor,,,,,,,,
415,1650628889912,42.889052,,executor,,,,,,,,
416,1650628889985,42.957123,,executor,,,,,,,,
417,1650628890024,43.002361,,executor,,,,,,,,
418,1650628890311,43.287985,,executor,,,,,,,,
